round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
10,clf,100,0.39160526060734213,0.43181962969892373,0.39160526060734213,0.5779708376253897,0.41189217932106653,0.39160526060734213,0.39160526060734213,0.3264354195579235,0.39160526060734213,0.37510189958935897,0.05400489538295776,0.1661679540097812,0.4247274044798634
11,proto,100,0.444030478352005,0.4873538309178543,0.444030478352005,0.6102797819766015,0.4580072401334961,0.444030478352005,0.444030478352005,0.4228648307355894,0.444030478352005,0.4589302649561368,0.05414451224235797,0.27762707468250614,0.5222642875337237
11,clf,100,0.3901190734279168,0.4331600979453251,0.3901190734279168,0.5770327680611658,0.4121895624623999,0.3901190734279168,0.3901190734279168,0.3277948854425318,0.3901190734279168,0.37416952698587247,0.054596945810743196,0.17600768098890693,0.4292202211087031
12,proto,100,0.4374287688813561,0.4863566308955445,0.4374287688813561,0.6111781045798625,0.4556839870011434,0.4374287688813561,0.4374287688813561,0.41834387932086337,0.4374287688813561,0.45314051487463014,0.053926353886257196,0.24920322265060807,0.5210048587354154
12,clf,100,0.38646857181301636,0.4307842974712132,0.38646857181301636,0.5745050521655247,0.4109572151495771,0.38646857181301636,0.38646857181301636,0.32514329598464475,0.38646857181301636,0.3701859563045737,0.053286891261777485,0.17941060302986261,0.42268258900474054
13,proto,100,0.43420522884550755,0.4824792714784719,0.43420522884550755,0.6089384843683459,0.4527561157276497,0.43420522884550755,0.43420522884550755,0.4156004005887606,0.43420522884550755,0.4501790868585762,0.05446641948730192,0.2606568108245177,0.5247655387206587
13,clf,100,0.38619697095427574,0.43046205188507225,0.38619697095427574,0.5764335446499337,0.4113449664902841,0.38619697095427574,0.38619697095427574,0.3255926892757362,0.38619697095427574,0.3703268762662743,0.05347690809246571,0.17261716966484453,0.41940618327708923
14,proto,100,0.4283039616895401,0.483814527464124,0.4283039616895401,0.6104221776969375,0.44793909245348634,0.4283039616895401,0.4283039616895401,0.41295546472678935,0.4283039616895401,0.44617188772933714,0.05451096106993994,0.26008969045285735,0.5211798568002229
14,clf,100,0.38475418820866514,0.4264484290946007,0.38475418820866514,0.5743054403933089,0.4111094521515279,0.38475418820866514,0.38475418820866514,0.32402973975047034,0.38475418820866514,0.36855828549095176,0.05479660184995147,0.18147532255568743,0.4305045937533575
15,proto,100,0.4241825941241721,0.4830070367108244,0.4241825941241721,0.609095343203116,0.44542953601876173,0.4241825941241721,0.4241825941241721,0.4097850126898871,0.4241825941241721,0.44144815848185653,0.05460051411505161,0.2517135437475927,0.5194836363092352
15,clf,100,0.38137133255579697,0.42724775399999126,0.38137133255579697,0.5760569040172101,0.4099758001217739,0.38137133255579697,0.3813713325557969,0.3215389330590605,0.38137133255579697,0.36446918508285964,0.055947577609630914,0.17077774791958122,0.4355581787978739
16,proto,100,0.4224225693763315,0.4788905366601987,0.4224225693763315,0.6070485773611952,0.4453915774209963,0.4224225693763315,0.4224225693763315,0.408793792912218,0.4224225693763315,0.44007102906360757,0.052976531018455175,0.25792451882810874,0.5059803856123763
16,clf,100,0.38059863624828216,0.4272831916156676,0.38059863624828216,0.5749681643712388,0.4094627848068737,0.38059863624828216,0.38059863624828216,0.3214512820592708,0.38059863624828216,0.3639873096895526,0.05239347124963625,0.18227363030067628,0.42593460193164046
17,proto,100,0.41814602787031335,0.4794079774884301,0.41814602787031335,0.6100359352319054,0.4419396169266332,0.41814602787031335,0.41814602787031335,0.4060506458680698,0.41814602787031335,0.4378245500069027,0.05294212243531997,0.24614664823545565,0.5095034987764356
17,clf,100,0.3818340173712518,0.425482558320762,0.3818340173712518,0.5737509191035549,0.41311091119068927,0.3818340173712518,0.3818340173712518,0.3237367941137252,0.3818340173712518,0.36502071615911064,0.054066127049264355,0.18164222025703836,0.42631190118219703
